Progress,Duration (in seconds),Finished,ResponseId,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,1121,TRUE,R_oYoBgdKFx40S2c1,69,79,82,,,,,,,,,,,,,72,69,71,,,,73,77,76,64,67,61,62,67,74,,,,,,,,,,69,77,79,,,,,,,,,,,,,,29,Female,White / Caucasian,,Master's Degree (MS),Rung 6,committing credit card fraud,,,,,searching for a water source,,keeping an eye on him,taking a detour at the next exit,yelling in gibberish until she leaves,,,,buying his father a tent,,,,
100,1047,TRUE,R_2t37m19DgLOHKWw,51,76,58,,,,,,,4,2,2,,,,,,,,,,,,,41,63,43,40,68,26,1,1,0,,,,19,18,13,,,,,,,,,,,,,,,,,39,Male,White / Caucasian,,Master's Degree (MS),Rung 8,switching insurance plans,,,crawling past the front desk,,,,,honking at the driver until they pull over,yelling in gibberish until she leaves,lighting a fire under the car,,borrowing their mom’s wedding ring,,,,,
100,126,TRUE,R_1lsmJsE4xQ7J1IG,,,,,,,,,,80,100,100,51,100,100,,,,,,,,,,,,,,,,,,,6,100,88,52,5,37,,,,52,100,95,9,23,15,,,,,,,,25,Female,White / Caucasian,,College Graduate (4 year),Rung 4,,,,borrowing someone's phone,calling her mom,,,,,,,taking a train instead,blaming it on the maid of honor,,organizing a fishing crew,sawing Todd’s arm off,,
100,275,TRUE,R_1QmSZDSw2mJaGkN,,,,37,92,93,23,50,18,,,,,,,,,,66,39,51,,,,,,,,,,40,64,22,,,,,,,,,,,,,,,,26,24,25,15,25,25,,40,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 2,,calling a taxi,getting an advance payday loan,,,,going without Ted,,,,asking to use the mall's loudspeaker,,,,,,telling his lawyer that he’s sick,calling for help
100,518,TRUE,R_1NfazI3Ktm2CApS,50,50,50,86,72,91,0,1,0,,,,,,,0,0,2,,,,,,,,,,,,,,,,10,3,4,,,,,,,0,0,0,,,,,,,,,,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 7,starting a fundraiser,taking a public bus,selling one of his kidneys,,,stealing all of the food and water,,,,,,asking to check the knife,,,throwing disobedient passengers off the boat,,,
100,189,TRUE,R_1dKZ68izbO5631Z,,,,,,,,,,10,0,0,,,,,,,45,0,0,100,100,100,,,,,,,,,,,,,0,0,0,,,,,,,50,10,30,,,,0,70,35,,38,Male,White / Caucasian,,Some College,Rung 5,,,,pulling the fire alarm,,,stealing someone else's ticket,waving to the parents,,,,,stealing someone else’s ring,,,yelling at Todd for getting stuck,,leaving her dogs with him
100,223,TRUE,R_215GIInfSJLLdJg,,,,,,,,,,,,,25,100,90,,,,,,,,,,14,5,2,40,71,71,6,3,1,,,,,,,7,4,3,,,,,,,8,4,0,,,,,60,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,,,quickly trying to redo the assignment,,,,ramming into the car,refusing to drive her,slashing the tires,,,pitching his situation to a reality TV network,,,staging a break-in at the store,
100,65,TRUE,R_3IT5VqyxTRyLnaz,,,,59,35,51,,,,,,,29,73,62,,,,40,72,58,43,46,59,,,,,,,72,49,53,,,,64,66,72,,,,,,,,,,,,,,,,,34,Male,Hispanic / Latino,,Some College,Rung 6,,trying to convince a passing driver to trade cars,,,bringing in the assignment the next day,,pretending they are conjoined twins,reading his mind,,,pouring water on the car to cool it,,running away,,,,,
100,291,TRUE,R_3PzrF5ky1Wbqa9L,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,100,100,100,,,,60,0,0,,,,100,100,100,,,,100,100,100,,,,50,50,50,,48,Male,Black / African American,,College Graduate (4 year),Rung 6,,,staging a robbery,,,,,,,turning invisible,,pretending the knife is part of a hip replacement,,checking in on his father daily,,hiking until she finds cell service,,carrying her competitor on her sled
100,1967,TRUE,R_d4sx7tk2Oj7QMEx,,,,79,80,84,,,,76,78,81,,,,,,,,,,84,84,86,,,,,,,75,75,81,73,74,79,,,,,,,75,75,76,,,,,,,,,,,50,Male,Black / African American,,Some College,Rung 7,,rescheduling for a later flight,,renewing her membership,,,,keeping an eye on him,,,checking that the doors are locked,taking a train instead,,,rationing their food,,,
100,2624,TRUE,R_12Ds6e4tF6ixu46,,,,,,,,,,,,,,,,,,,,,,69,20,20,60,34,50,30,52,42,70,92,81,90,81,91,,,,,,,,,,,,,34,18,18,,,,,39,Male,White / Caucasian,,Some College,Rung 5,,,,,,,,tackling him and holding him down,tailgating the car,taking her to his house but no further,calling emergency services,storing the knife in an airport locker,,,,,leaving the store unattended,
100,182,TRUE,R_1r22FkYPQhZPue1,,,,,,,35,51,35,,,,,,,,,,,,,21,50,24,46,50,25,,,,35,69,18,1,0,1,8,13,5,,,,,,,,,,,,,,,,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,paying the money from his own wallet,,,,,asking the parents if they know him,honking an angry message in Morse code,,asking to use the mall's loudspeaker,threatening security with the knife,running away,,,,,
100,155,TRUE,R_25tIcpfdWxmTafa,85,100,70,46,100,54,,,,72,100,66,,,,76,100,84,,,,,,,,,,,,,,,,,,,,,,,,,70,100,35,,,,,,,84,100,92,,36,Male,Hispanic / Latino,,High School or equivalent,Rung 5,taking out a loan,taking a public bus,,paying for a day-pass to the gym,,collecting wood to start a fire,,,,,,,,,requesting supplies to be airdropped,,,finishing the race
100,176,TRUE,R_3PKRD5HJUei40IK,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,0,0,30,50,15,,,,1,0,0,,,,15,100,10,5,0,0,,,,,,,,,,,38,Male,White / Caucasian,,Some College,Rung 3,,,,,,throwing away all of the food,,,ramming into the car,taking her to his house but no further,,threatening security with the knife,,getting another job,selling all the food to the highest bidder,,,
100,300,TRUE,R_1lzzlu3l9d0MH6o,,,,,,,,,,,,,5,0,10,,,,80,25,80,,,,,,,50,50,80,,,,,,,,,,30,0,30,,,,5,75,0,70,100,50,,,,,21,Female,Black / African American,,Some College,Rung 3,,,,,lying that her house burnt down,,going without Ted,,,calling her a cab,,,,abandoning his father,,getting her arm stuck in solidarity,calling his lawyer,
100,186,TRUE,R_2rUgNTsVoSTCs9y,43,13,18,83,83,73,65,80,25,,,,,,,,,,78,88,56,,,,,,,,,,87,88,60,,,,,,,,,,,,,,,,30,20,63,,,,,31,Male,White / Caucasian,,Some College,Rung 4,committing credit card fraud,rescheduling for a later flight,getting an advance payday loan,,,,giving her ticket to Ted,,,,checking that the doors are locked,,,,,,telling his lawyer that he’s sick,
100,1773,TRUE,R_12RqBnWTpEjZphS,48,18,45,,,,,,,33,13,20,,,,93,80,77,,,,,,,71,97,88,,,,,,,,,,,,,,,,9,0,0,,,,19,35,50,,,,,31,Male,Black / African American,,College Graduate (4 year),Rung 6,switching insurance plans,,,crawling past the front desk,,collecting wood to start a fire,,,pulling over and calling 911,,,,,,throwing disobedient passengers off the boat,,locking up the store,
100,126,TRUE,R_2chGDfqtQDvojw5,,,,,,,,,,66,45,53,60,48,67,,,,,,,35,80,58,,,,,,,,,,,,,65,50,36,,,,,,,36,47,59,,,,69,62,77,,26,Male,Black / African American,,College Graduate (4 year),Rung 5,,,,borrowing someone's phone,calling her mom,,,keeping an eye on him,,,,,stealing someone else’s ring,,,giving Todd her water,,carrying her competitor on her sled
100,232,TRUE,R_38KtjG1EANI9eRr,59,44,74,,,,,,,76,43,58,,,,,,,,,,,,,40,60,76,35,53,68,66,52,42,41,81,67,,,,,,,,,,,,,,,,,,,,26,Male,Black / African American,,College Graduate (4 year),Rung 6,switching insurance plans,,,renewing her membership,,,,,tailgating the car,turning invisible,calling emergency services,pretending the knife is part of a hip replacement,,,,,,
100,414,TRUE,R_1OTAzH12sQhynmI,,,,1,1,1,1,91,1,,,,,,,81,97,80,0,80,0,6,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,29,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 3,,stealing a passing driver's car,selling one of his kidneys,,,huddling to conserve energy,teleporting into the concert,making cat noises at him until he leaves,,,,,,,,,,stealing his dogs for extra speed
100,202,TRUE,R_2ty8H9fHjKlL70i,,,,,,,,,,,,,,,,0,0,0,,,,,,,19,70,19,5,0,2,,,,,,,100,100,100,0,0,0,50,90,60,,,,,,,,,,,59,Female,White / Caucasian,,Some College,Rung 3,,,,,,stealing all of the food and water,,,taking a detour at the next exit,yelling in gibberish until she leaves,,,calling the taxi company,pitching his situation to a reality TV network,requesting supplies to be airdropped,,,
100,289,TRUE,R_1QuUkO2ubTXoRM8,,,,30,53,52,7,0,0,,,,,,,,,,,,,69,45,45,,,,,,,,,,,,,,,,,,,,,,12,3,14,8,10,10,0,9,7,,30,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,,calling a taxi,staging a robbery,,,,,waving to the parents,,,,,,,,leaving Todd to save herself,asking a friend to take over,hiding him in the snow
100,821,TRUE,R_3Eo2OHk77EvmXoV,,,,,,,,,,,,,70,100,100,,,,,,,,,,,,,,,,,,,,,,39,30,10,70,100,100,20,100,100,20,0,5,50,10,10,,,,,34,Male,Hispanic / Latino,,College Graduate (4 year),Rung 7,,,,,bringing in the assignment the next day,,,,,,,,borrowing their mom’s wedding ring,checking in on his father daily,rationing their food,leaving Todd to save herself,telling his lawyer that he’s sick,
100,454,TRUE,R_2fDSZnEBinYpWqp,40,1,1,,,,,,,50,94,80,97,99,92,,,,18,0,4,,,,,,,,,,81,99,95,95,98,62,,,,,,,,,,,,,,,,,,,,39,Female,Black / African American,,Vocational/Technical School (2 year),Rung 4,searching for the medication on the black market,,,paying for a day-pass to the gym,quickly trying to redo the assignment,,stealing someone else's ticket,,,,pouring water on the car to cool it,taking a train instead,,,,,,
100,147,TRUE,R_2vbQFor9oZQ4chn,,,,,,,100,100,100,,,,100,0,36,,,,,,,,,,,,,12,0,2,,,,100,100,100,,,,100,100,100,100,100,100,,,,,,,,,,,26,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,,explaining the situation to his boss,,copying a friend's assignment,,,,,stealing whatever she has on her,,asking to check the knife,,moving into his father’s apartment,organizing a fishing crew,,,
100,195,TRUE,R_2s0BeXVjtbbILTP,78,100,87,,,,,,,,,,,,,0,3,0,2,83,0,0,50,0,38,58,50,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,40,Female,Hispanic / Latino,,Some College,Rung 4,starting a fundraiser,,,,,boosting morale with a three-legged race,pretending they are conjoined twins,reading his mind,honking at the driver until they pull over,,,,,,,,leaving the store unattended,
100,270,TRUE,R_UZ0XFhxUzm4RURP,,,,22,55,45,,,,7,1,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,30,18,45,,,,,,,71,82,79,,,,7,57,33,,40,Female,White / Caucasian,,High School or equivalent,Rung 4,,trying to convince a passing driver to trade cars,,pulling the fire alarm,,,,,,,lighting a fire under the car,,blaming it on the maid of honor,,,hiking until she finds cell service,,leaving her dogs with him
100,296,TRUE,R_239l05tKZYcS7rN,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,30,85,70,12,2,2,,,,92,99,100,,,,,,,,,,31,50,50,100,100,100,,35,Male,Black / African American,,College Graduate (4 year),Rung 4,,,,,hypnotizing the teacher,,,,,refusing to drive her,slashing the tires,,telling his sister as soon as possible,,,,asking a friend to take over,finishing the race
100,219,TRUE,R_1qVb42bvfSOzIwH,33,22,53,,,,0,0,0,70,0,4,,,,42,100,71,,,,80,100,100,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,52,Male,White / Caucasian,,College Graduate (4 year),Rung 8,going on strike for better wages,,paying the money from his own wallet,lying that she left her card inside,,searching for a water source,,keeping an eye on him,,,,,,buying his father a tent,,,,
100,371,TRUE,R_1QH49KR5GCpMXhY,,,,15,2,1,,,,,,,,,,,,,83,83,85,,,,23,19,10,,,,,,,24,3,16,,,,,,,2,0,0,82,91,100,,,,,,,,37,Male,White / Caucasian,,Some College,Rung 5,,demanding that the airline delays the flight,,,,,trying to buy a ticket off another person,,honking an angry message in Morse code,,,hiding the knife in someone else's bag,,,serving engine fuel to the passengers,giving Todd her water,,
64,87,FALSE,R_1nW3hGNsGN43XBQ,,,,,,,,,,,,,,,,,,,60,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teleporting into the concert,,,,,,calling the taxi company,,,,,
73,208,FALSE,R_3F3w6jqXCkQuWzq,,,,,,,,,,,,,,,,5,20,2,15,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,50,30,,,,,,,,,,,,,boosting morale with a three-legged race,stealing someone else's ticket,,,turning invisible,,,,,,,,calling for help
64,692,FALSE,R_1dnxv3n9fhJYY2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stealing whatever she has on her,,,stealing someone else’s ring,,,,,
68,211,FALSE,R_5cF1Ehlhr7TU89z,,,,0,100,100,50,85,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rescheduling for a later flight,explaining the situation to his boss,,,collecting wood to start a fire,,,,,,,,,,,,
59,6637,FALSE,R_1LGtjYs0VLX8Pju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lying that she left her card inside,,,,,,,,,,,,,,
