Progress,Duration (in seconds),Finished,ResponseId,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,191,TRUE,R_3nPB4kCsuMLsBdH,10,30,3,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,40,1,25,,,,,,,,,,50,100,75,100,95,95,0,0,0,,31,Male,Hispanic / Latino,,College Graduate (4 year),Rung 2,committing credit card fraud,,,,,,,making cat noises at him until he leaves,,,,hiding the knife in someone else's bag,,,,giving Todd her water,calling his lawyer,hiding him in the snow
100,619,TRUE,R_2X0DASPMkTl7tJt,,,,7,7,8,0,0,0,,,,,,,,,,30,1,1,60,61,67,,,,,,,0,0,0,,,,,,,,,,,,,,,,79,94,96,,,,,,Female,,,College Graduate (4 year),,,trying to convince a passing driver to trade cars,selling one of his kidneys,,,,stealing someone else's ticket,waving to the parents,,,lighting a fire under the car,,,,,,calling his lawyer,
100,94,TRUE,R_agDc9GHFyNO2MEx,,,,,,,4,1,2,,,,,,,22,72,19,,,,,,,,,,,,,,,,59,69,52,,,,,,,35,93,66,0,1,0,0,0,0,,,,,41,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,staging a robbery,,,boosting morale with a three-legged race,,,,,,taking a train instead,,,organizing a fishing crew,sawing Todd’s arm off,leaving the store unattended,
100,595,TRUE,R_2fD6KChT9VE0R19,0,75,1,,,,,,,,,,5,0,1,80,100,65,,,,40,100,65,,,,,,,,,,,,,,,,0,75,2,,,,,,,2,0,0,,,,,58,Male,White / Caucasian,,High School or equivalent,Rung 2,going on strike for better wages,,,,copying a friend's assignment,collecting wood to start a fire,,waving to the parents,,,,,,getting another job,,,staging a break-in at the store,
100,433,TRUE,R_z0cjh1l8QOXh4PL,,,,,,,85,4,75,,,,,,,,,,,,,10,0,0,,,,100,90,90,,,,45,100,60,,,,,,,,,,,,,90,100,100,10,1,0,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,getting an advance payday loan,,,,,reading his mind,,taking her to his house but no further,,asking to check the knife,,,,,asking a friend to take over,leaving her dogs with him
100,143,TRUE,R_Y5fJpXgu8xNXIA1,,,,,,,,,,,,,93,50,74,,,,,,,81,93,76,58,65,78,89,100,94,,,,86,50,71,,,,,,,,,,,,,,,,100,100,100,,33,Female,White / Caucasian,,Some College,Rung 2,,,,,calling her mom,,,asking the parents if they know him,taking a detour at the next exit,calling her a cab,,storing the knife in an airport locker,,,,,,finishing the race
100,320,TRUE,R_2a8nsLNcmhet5g8,,,,,,,,,,33,100,80,2,0,0,10,50,10,5,0,0,,,,,,,,,,,,,,,,,,,1,100,76,35,0,0,,,,,,,,,,,50,Male,Hispanic / Latino,,College Graduate (4 year),Rung 5,,,,borrowing someone's phone,hypnotizing the teacher,huddling to conserve energy,pretending they are conjoined twins,,,,,,,getting another job,throwing disobedient passengers off the boat,,,
100,698,TRUE,R_w7S9ptp63UJzof7,,,,,,,,,,66,50,59,63,63,56,72,58,50,,,,,,,,,,,,,78,81,76,,,,64,50,18,,,,70,60,70,,,,,,,,,,,29,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,,,,pulling the fire alarm,lying that her house burnt down,huddling to conserve energy,,,,,calling emergency services,,borrowing their mom’s wedding ring,,rationing their food,,,
100,657,TRUE,R_1nU9yBPf1GxCwvr,,,,,,,,,,,,,72,71,50,,,,,,,,,,30,10,50,,,,75,75,50,,,,,,,10,10,50,,,,,,,10,10,50,50,78,52,,59,Female,White / Caucasian,,Some College,Rung 6,,,,,bringing in the assignment the next day,,,,tailgating the car,,calling emergency services,,,buying his father a tent,,,leaving the store unattended,carrying her competitor on her sled
100,358,TRUE,R_1pJvD6tWO92Rone,,,,100,100,100,,,,,,,50,50,50,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,50,0,36,,49,Female,Native American / American Indian,,High School or equivalent,Rung 2,,calling a taxi,,,copying a friend's assignment,,teleporting into the concert,tackling him and holding him down,,,,,,pitching his situation to a reality TV network,,,,calling for help
100,155,TRUE,R_2e2y45zd7hUSdCt,,,,,,,,,,18,17,11,,,,,,,,,,0,3,0,70,54,47,,,,,,,,,,,,,19,55,31,19,13,10,,,,,,,14,10,13,,42,Male,White / Caucasian,,Some College,Rung 2,,,,crawling past the front desk,,,,reading his mind,tailgating the car,,,,,moving into his father’s apartment,selling all the food to the highest bidder,,,stealing his dogs for extra speed
100,312,TRUE,R_2ffjeriDScUWpIV,0,0,0,,,,,,,,,,0,0,3,,,,50,100,80,,,,,,,,,,,,,0,0,0,,,,,,,,,,100,100,100,10,0,0,,,,,42,Male,White / Caucasian,,Some College,Rung 4,going on strike for better wages,,,,lying that her house burnt down,,trying to buy a ticket off another person,,,,,threatening security with the knife,,,,hiking until she finds cell service,locking up the store,
100,591,TRUE,R_QhcaU78u6s5RdYt,100,100,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,20,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,31,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,searching for the medication on the black market,stealing a passing driver's car,,,,,,,,,checking that the doors are locked,hiding the knife in someone else's bag,,,,,staging a break-in at the store,stealing his dogs for extra speed
100,301,TRUE,R_1JDUnydDgeFpfaR,,,,90,100,93,20,0,0,,,,,,,2,5,0,,,,,,,,,,1,0,0,5,0,0,,,,75,0,20,,,,,,,,,,,,,,,,,41,Male,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 6,,taking a public bus,overcharging the next customers,,,throwing away all of the food,,,,stealing whatever she has on her,slashing the tires,,blaming it on the maid of honor,,,,,
100,420,TRUE,R_2wLVZCTXuM0FTsh,81,100,60,,,,,,,30,10,5,,,,,,,0,100,0,,,,,,,,,,100,100,100,,,,10,100,100,,,,100,100,100,,,,,,,,,,,62,Female,Other,white/black/native,Some College,Rung 6,searching for the medication on the black market,,,lying that she left her card inside,,,teleporting into the concert,,,,asking to use the mall's loudspeaker,,telling his sister as soon as possible,,requesting supplies to be airdropped,,,
100,139,TRUE,R_27KfiXqh8JT4tZ3,5,50,50,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,90,100,100,50,100,100,5,0,0,,,,,,,0,0,0,,42,Male,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 6,going on strike for better wages,,,,,boosting morale with a three-legged race,,,,,,,calling the taxi company,moving into his father’s apartment,selling all the food to the highest bidder,,,hiding him in the snow
100,1160,TRUE,R_1erYyADAXXpOLXf,100,100,100,0,0,0,,,,100,100,100,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,50,0,,,,,32,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 1 (Bottom Rung),switching insurance plans,trying to convince a passing driver to trade cars,,lying that she left her card inside,,,,making cat noises at him until he leaves,,,lighting a fire under the car,,,,,,locking up the store,
100,285,TRUE,R_10SDFoySBplSrav,,,,1,3,2,11,84,53,46,65,68,6,2,2,,,,54,89,88,,,,,,,,,,,,,,,,,,,,,,,,,2,38,2,,,,,,,,35,Male,Hispanic / Latino,,College Graduate (4 year),Rung 4,,demanding that the airline delays the flight,explaining the situation to his boss,lying that she left her card inside,hypnotizing the teacher,,giving her ticket to Ted,,,,,,,,,getting her arm stuck in solidarity,,
